,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
31733,84,848,29458,8,15,3,15,0,0,5,9846,FarmForestAqua
467,1,8,313,37,14,3,20,1,0,12,24572,Private
23966,66,646,24214,3,15,1,29,0,1,16,54560,StateRun
19046,49,509,20680,10,14,3,26,1,0,12,52341,Private
28074,77,750,26590,1,14,3,27,1,0,12,26000,StateRun
18069,46,481,20068,5,15,1,53,1,1,12,22175,StateRun
14037,37,374,14527,6,14,1,32,1,1,7,17144,HomeBusiness
16537,42,445,18637,9,13,3,31,1,1,12,39072,Private
20428,52,549,21934,15,13,3,19,1,0,9,14975,HomeBusiness
10526,30,293,10795,2,14,1,50,1,1,9,17247,HomeBusiness
9777,27,258,9199,8,13,2,48,0,1,9,9307,HomeBusiness
35932,94,951,31687,21,13,2,49,1,1,3,8096,FarmForestAqua
15239,38,407,16606,1,14,3,18,1,0,9,2239,Private
21394,56,572,22540,6,14,3,22,0,0,5,5199,FarmForestAqua
25241,68,678,24970,9,14,2,30,0,1,7,38237,Foreign
25008,68,673,24814,7,13,2,37,0,1,5,15809,FarmForestAqua
12127,34,336,12451,8,14,1,53,0,1,9,10639,HomeBusiness
33706,89,893,30676,19,15,1,50,1,1,5,26984,Private
30261,82,816,28312,14,14,3,30,0,1,3,6287,HomeBusiness
31403,84,844,29269,4,15,3,29,0,0,8,3595,Private
19752,51,532,21394,9,13,3,20,1,0,9,3378,FarmForestAqua
1602,1,282,10441,14,20,1,51,1,1,6,12491,HomeBusiness
6352,19,164,5446,34,14,2,40,0,1,12,32160,StateRun
10510,30,293,10768,4,20,3,29,1,1,12,34586,Foreign
11166,31,308,11467,15,14,2,51,0,1,9,15563,HomeBusiness
30729,82,823,28687,4,14,4,22,1,0,11,26535,HomeBusiness
34605,92,918,31171,10,15,1,75,1,1,2,5017,FarmForestAqua
12181,34,338,12496,2,14,1,45,0,0,9,14813,HomeBusiness
27490,75,736,26236,20,15,2,23,0,0,12,23251,StateRun
25740,70,693,25312,3,14,1,27,1,1,12,24220,StateRun
12706,35,347,13297,17,15,2,46,1,1,16,86789,StateRun
26000,72,703,25480,16,14,2,29,0,1,12,30748,StateRun
12357,34,340,12748,3,14,2,35,0,1,6,11974,Private
1013,1,268,9886,19,13,1,41,1,1,9,27084,HomeBusiness
29535,79,787,27667,26,13,1,39,1,1,9,45000,Private
32222,86,862,29821,10,13,1,45,1,1,2,13420,FarmForestAqua
21025,56,568,22327,21,20,1,48,1,1,12,6555,StateRun
28053,77,750,26575,9,13,1,41,1,1,16,42100,StateRun
20313,52,548,21862,1,14,1,37,1,1,5,28188,FarmForestAqua
21007,54,564,22297,9,13,4,19,1,0,9,26000,HomeBusiness
27593,75,738,26314,22,19,2,33,1,1,9,54595,StateRun
32360,87,866,29872,2,14,1,44,1,1,11,10030,StateRun
16504,42,445,18565,6,13,1,41,0,0,9,27397,Private
21299,56,570,22462,18,15,2,37,1,1,9,35242,StateRun
31325,83,838,28933,8,15,1,49,1,1,12,10849,FarmForestAqua
14757,38,396,15622,7,13,1,47,1,1,12,4285,StateRun
23690,64,638,24058,3,14,6,20,1,0,8,7853,FarmForestAqua
20939,54,563,22321,3,13,1,47,1,1,5,20000,FarmForestAqua
33407,89,889,30478,65,19,1,38,0,1,4,5571,FarmForestAqua
574,1,9,367,51,15,4,31,0,1,16,51291,StateRun
34151,91,906,30943,26,14,1,49,0,0,0,4210,FarmForestAqua
17994,46,480,19996,5,14,1,42,1,1,5,23807,HomeBusiness
19463,51,524,21106,2,19,1,41,1,1,9,32207,Private
32582,87,871,30022,15,13,1,59,1,1,12,14587,StateRun
27138,75,731,26020,39,13,2,24,0,1,12,33885,Foreign
21172,56,568,22396,4,15,5,25,0,1,12,28686,StateRun
18026,46,480,20014,11,19,8,23,0,1,2,7129,HomeBusiness
9906,27,259,9307,6,13,6,30,1,1,12,15961,HomeBusiness
29165,79,776,27397,37,15,2,23,0,1,12,32160,Private
3274,8,75,2443,5,15,1,42,1,1,12,15318,StateRun
7806,22,206,7132,9,14,2,45,0,1,12,3498,StateRun
29567,80,794,27697,16,13,3,40,1,0,16,52324,StateRun
23124,64,622,23566,1,14,2,52,1,1,12,64951,StateRun
22282,60,596,23038,10,14,1,31,1,1,0,19500,FarmForestAqua
29169,79,776,27406,19,14,5,18,0,0,5,24443,HomeBusiness
32140,86,860,29740,1,15,3,26,1,0,5,17830,Private
28238,77,752,26671,2,15,1,26,1,0,3,9600,HomeBusiness
7483,22,195,6775,11,15,2,42,1,1,16,58648,StateRun
17187,45,461,19342,5,13,2,39,0,1,16,37352,StateRun
27229,75,731,26053,18,14,2,52,0,1,16,71890,Private
7560,22,196,6823,12,15,1,31,1,1,16,50400,Private
674,1,17,463,7,13,1,23,1,1,6,22850,HomeBusiness
11160,31,308,11458,15,19,3,29,0,1,18,62435,StateRun
17376,45,466,19507,4,15,1,30,1,1,12,29676,StateRun
21557,56,574,22666,1,15,4,17,0,0,8,15017,FarmForestAqua
2205,4,40,1285,3,15,2,39,1,1,9,32673,Private
12012,33,331,12319,10,13,3,21,1,0,12,22371,Private
6335,19,164,5437,3,15,3,21,0,0,14,24830,StateRun
21158,56,568,22390,21,14,1,35,1,1,9,96846,Private
